"time_series","sub_time_series","index","mean_value","theil_index","norm_sum_theil_index","norm_prod_theil_index"
"^GSPC","absolute log-return",23929,183.350610600062,5.89416898730101e-12,0.693147180554051,8.50348836814069e-12
"^GSPC","original",23929,13855062.7845303,1.09002071205656e-08,0.693147169659738,1.57256747575025e-08
"^GSPC","volatility log-return",23929,72623.7555935361,1.83974883768881e-11,0.693147180541548,2.65419652461487e-11
"^GSPC","absolute log-return",23928,183.345664567266,2.15068100568403e-10,1.09861228845304,1.95763421533486e-10
"^GSPC","original",23928,13853000.7895469,2.90480241001658e-08,1.09861225962009,2.64406509919727e-08
"^GSPC","volatility log-return",23928,72621.1625047088,1.53847769183974e-10,1.09861228851426,1.40038274440285e-10
"^GSPC","absolute log-return",23927,183.341005610425,3.24725237437767e-10,1.38629436079517,2.34239744851479e-10
"^GSPC","original",23927,13850942.7820845,5.43425714917323e-08,1.38629430677732,3.91998792001381e-08
"^GSPC","volatility log-return",23927,72618.5776443313,2.06071797149815e-10,1.38629436091382,1.48649379907557e-10
"^GSPC","absolute log-return",23926,183.33522720722,5.52790380498738e-10,1.60943791188131,3.43467974892367e-10
"^GSPC","original",23926,13848884.3575874,8.69200187487639e-08,1.60943782551408,5.40064441611835e-08
"^GSPC","volatility log-return",23926,72615.6422034719,3.13838352282095e-10,1.60943791212026,1.94998732077492e-10
"^GSPC","absolute log-return",23925,183.329516892604,7.03039996471875e-10,1.79175946852501,3.92374092921505e-10
"^GSPC","original",23925,13846821.7612949,1.26988432086162e-07,1.79175934223962,7.08735933963686e-08
"^GSPC","volatility log-return",23925,72612.7156950698,3.84588433383799e-10,1.79175946884347,2.14642891520195e-10
"^GSPC","absolute log-return",23924,183.323225892417,5.08237734058611e-10,1.94591014854708,2.61182529062478e-10
"^GSPC","original",23924,13844758.9553632,1.74355711792585e-07,1.9459099746996,8.96011112729074e-08
"^GSPC","volatility log-return",23924,72609.7408013039,2.50854477886824e-10,1.94591014880446,1.28913700362068e-10
"^GSPC","absolute log-return",23923,183.316933697849,2.71318683349394e-10,2.07944154140852,1.30476706322898e-10
"^GSPC","original",23923,13842703.3134047,2.28483379646049e-07,2.07944131319646,1.09877279580302e-07
"^GSPC","volatility log-return",23923,72606.7374942366,1.50051157407528e-10,2.07944154152978,7.21593535571635e-11
"^GSPC","absolute log-return",23922,183.309771582761,3.248139754346e-10,2.19722457701141,1.47829210898589e-10
"^GSPC","original",23922,13840654.992986,2.89274090077304e-07,2.19722428806213,1.31654312017574e-07
"^GSPC","volatility log-return",23922,72603.5382770042,1.41321508650453e-10,2.1972245771949,6.43181903698632e-11
"^GSPC","absolute log-return",23921,183.302221028901,5.41825234923679e-10,2.30258509245222,2.35311709683287e-10
"^GSPC","original",23921,13838617.480649,3.5630896441873e-07,2.30258473668508,1.54743017099717e-07
"^GSPC","volatility log-return",23921,72600.2945536126,2.26123454802158e-10,2.30258509276792,9.82041686494766e-11
"^GSPC","absolute log-return",23920,183.295841148087,5.30638101713972e-10,2.39789527226773,2.212932765386e-10
"^GSPC","original",23920,13836587.2587343,4.2981800014198e-07,2.39789484298037,1.79248028476397e-07
"^GSPC","volatility log-return",23920,72597.4375143658,1.79691747771262e-10,2.39789527261868,7.49372792922518e-11
"^GSPC","absolute log-return",23919,183.289863020613,5.10382580750217e-10,2.48490664927762,2.05393060054695e-10
"^GSPC","original",23919,13834563.0529729,5.09843552336693e-07,2.48490613994445,2.0517613906349e-07
"^GSPC","volatility log-return",23919,72594.6467137226,1.88941575956914e-10,2.48490664959906,7.60356836636232e-11
"^GSPC","absolute log-return",23918,183.284042416105,4.47493512351852e-10,2.56494935701404,1.74464852902486e-10
"^GSPC","original",23918,13832545.1788694,5.96252616358358e-07,2.56494876120892,2.32461750023967e-07
"^GSPC","volatility log-return",23918,72591.8751437148,1.98088244445516e-10,2.56494935726345,7.72289105316134e-11
"^GSPC","absolute log-return",23917,183.277457789318,4.54420222628956e-10,2.63905732916084,1.7219035658282e-10
"^GSPC","original",23917,13830533.1117828,6.89021580118897e-07,2.63905664059368,2.6108624939169e-07
"^GSPC","volatility log-return",23917,72588.9211056903,2.18963564671248e-10,2.63905732939629,8.29703705994028e-11
"^GSPC","absolute log-return",23916,183.270283758126,3.54569363290736e-10,2.70805020074764,1.30931606491793e-10
"^GSPC","original",23916,13828521.2862999,7.88873799588022e-07,2.70804941222841,2.91306933404314e-07
"^GSPC","volatility log-return",23916,72585.8135444803,1.70299565864789e-10,2.70805020093191,6.2886413920789e-11
"^GSPC","absolute log-return",23915,183.263204027502,4.83099827285149e-10,2.77258872175668,1.7424143126965e-10
"^GSPC","original",23915,13826512.8589982,8.95292446080921e-07,2.77258782694734,3.22908493026574e-07
"^GSPC","volatility log-return",23915,72582.7120858315,1.92421407712557e-10,2.77258872204736,6.94013526669449e-11
"^GSPC","absolute log-return",23914,183.255670917589,7.21390822347683e-10,2.83321334333483,2.54619308447451e-10
"^GSPC","original",23914,13824509.2960913,1.00798506784685e-06,2.83321233607115,3.55774502460781e-07
"^GSPC","volatility log-return",23914,72579.481947232,2.6869617086079e-10,2.83321334378752,9.48379589643282e-11
"^GSPC","absolute log-return",23913,183.247659908051,1.31756473081012e-09,2.8903717565786,4.55846112947473e-10
"^GSPC","original",23913,13822507.3562835,1.12745501877009e-06,2.89037063044115,3.90072666496969e-07
"^GSPC","volatility log-return",23913,72576.1503184868,4.21482548613234e-10,2.89037175747468,1.45822954248633e-10
"^GSPC","absolute log-return",23912,183.239944638822,1.67444377264455e-09,2.944438977492,5.68680072669931e-10
"^GSPC","original",23912,13820510.3775117,1.25304551442543e-06,2.94443772612093,4.25563417442656e-07
"^GSPC","volatility log-return",23912,72572.8740146663,5.0489388083408e-10,2.94443897866155,1.71473711768689e-10
"^GSPC","absolute log-return",23911,183.231615263996,2.27549841883384e-09,2.99573227127849,7.59580032876002e-10
"^GSPC","original",23911,13818516.2576151,1.38510908067788e-06,2.99573088844491,4.62360769987852e-07
"^GSPC","volatility log-return",23911,72569.4595108178,6.75219467003302e-10,2.99573227287877,2.25393795354835e-10
"^GSPC","absolute log-return",23910,183.223789900558,2.51733975333614e-09,3.04452243520608,8.26842240393704e-10
"^GSPC","original",23910,13816527.609613,1.52305918630501e-06,3.04452091466424,5.00262099379991e-07
"^GSPC","volatility log-return",23910,72566.1668337484,7.50404333096346e-10,3.04452243697302,2.4647686080365e-10
"^GSPC","absolute log-return",23909,183.215909428543,3.05109785166557e-09,3.09104245030722,9.87077304082529e-10
"^GSPC","original",23909,13814543.4241525,1.66704505724484e-06,3.09104078631326,5.39314837113819e-07
"^GSPC","volatility log-return",23909,72562.8634024259,9.16140112970475e-10,3.09104245244218,2.96385483795319e-10
"^GSPC","absolute log-return",23908,183.207656820679,4.24686971223984e-09,3.13549421168228,1.35444986333083e-09
"^GSPC","original",23908,13812560.6482943,1.81769652403168e-06,3.13549239823263,5.79716114543377e-07
"^GSPC","volatility log-return",23908,72559.482592171,1.2664734654569e-09,3.13549421466268,4.03915101811662e-10
"^GSPC","absolute log-return",23907,183.199485865195,4.93278940492331e-09,3.17805382541516,1.55214155210934e-09
"^GSPC","original",23907,13810576.0450073,1.97575895624108e-06,3.17805185458899,6.21688323015211e-07
